locality,sub_locality,street_name,postcode
Rose- Hill,ROCHE BRUNES/ PLAISANCE,Pigeot Avenue from La Reine to Allaman,71254
Rose- Hill,ROCHE BRUNES/ PLAISANCE,Ratsitatane (north) from La Reine to Allaman,71254
Rose- Hill,ROCHE BRUNES/ PLAISANCE,Roches Brunes Ave (South) from La Reine to Allaman,71254
Rose- Hill,ROCHE BRUNES/ PLAISANCE,Sister Clemence Ave from La Reine to Allaman,71254
Rose- Hill,ROCHE BRUNES/ PLAISANCE,Ste Therese Avenue,71254
Rose- Hill,ROCHE BRUNES/ PLAISANCE,Strafford Mayer Street,71254
Rose- Hill,ROCHE BRUNES/ PLAISANCE 1,De Plevitz Avenue (from  La Reine St to Jhuboo St),71258
Rose- Hill,ROCHE BRUNES/ PLAISANCE 1,Dr. S. Jhuboo Street (whole),71258
Rose- Hill,ROCHE BRUNES/ PLAISANCE 1,Giroday Avenue (from  La Reine St to Jhuboo St),71258
Rose- Hill,ROCHE BRUNES/ PLAISANCE 1,Idrice Goomany St,71258
Rose- Hill,ROCHE BRUNES/ PLAISANCE 1,La Reine St (whole),71258
Rose- Hill,ROCHE BRUNES/ PLAISANCE 1,Martin Luther King Street,71258
Rose- Hill,ROCHE BRUNES/ PLAISANCE 1,Pigeot Avenue (from  La Reine St to Jhuboo St),71258
Rose- Hill,ROCHE BRUNES/ PLAISANCE 1,Ratsitatane (north) from La Reine to Jhuboo,71258
Rose- Hill,ROCHE BRUNES/ PLAISANCE 1,Rev Pere Dufay Street,71258
Rose- Hill,ROCHE BRUNES/ PLAISANCE 1,Roches Brunes Ave (South) from La Reine to Jhuboo,71258
Rose- Hill,ROCHE BRUNES/ PLAISANCE 1,Sister Clemence Avenue((from  La Reine St to Jhuboo St),71258
Rose- Hill,ROCHE BRUNES/ PLAISANCE 2,De Plevitz Avenue (from Jhuboo to Mere Theresa),71259
Rose- Hill,ROCHE BRUNES/ PLAISANCE 2,Fareed Muttur Street,71259
Rose- Hill,ROCHE BRUNES/ PLAISANCE 2,Giroday Avenue (from Jhuboo to Franchette),71259
Rose- Hill,ROCHE BRUNES/ PLAISANCE 2,J.Franchette St (Limit VIII),71259
Rose- Hill,ROCHE BRUNES/ PLAISANCE 2,Maxime  Remy St ( Limit VI),71259
Rose- Hill,ROCHE BRUNES/ PLAISANCE 2,Mere Theresa St (Limit VII),71259
Rose- Hill,ROCHE BRUNES/ PLAISANCE 2,Ratsitatane (north) from Jhuboo to Concorde,71259
Rose- Hill,ROCHE BRUNES/ PLAISANCE 2,Roches Brunes Ave (south) from Jhuboo to Concorde,71259
Rose- Hill,ROCHE BRUNES/ PLAISANCE 2,Rue de la concorde (eastern side),71259
Rose- Hill,ROCHE BRUNES/ PLAISANCE 2,Sister Clemence Avenue  (from Jhuboo to Fanchette),71259
Rose- Hill,ROSE HILL CENTRE 1,A. Gelle,71360
Rose- Hill,ROSE HILL CENTRE 1,Abbe Harel,71360
Rose- Hill,ROSE HILL CENTRE 1,Ambrose Avenue (north),71360
Rose- Hill,ROSE HILL CENTRE 1,Andre Glover,71360
Rose- Hill,ROSE HILL CENTRE 1,B. Blackburn,71360
Rose- Hill,ROSE HILL CENTRE 1,Barbeau,71360
Rose- Hill,ROSE HILL CENTRE 1,C. David,71360
Rose- Hill,ROSE HILL CENTRE 1,Celestin Lane,71360
Rose- Hill,ROSE HILL CENTRE 1,Dr Raoul Felix,71360
Rose- Hill,ROSE HILL CENTRE 1,Ernest,71360
Rose- Hill,ROSE HILL CENTRE 1,Farquhar,71360
Rose- Hill,ROSE HILL CENTRE 1,G.Bowen,71360
Saint Julien d'Hotman,Camp Thorel,,80101
Saint Julien d'Hotman,Saint Julien d'Hotman,,80102
Rose- Hill,ROSE HILL CENTRE 1,Hugnin (east) from Ambrose to P.Laval,71360
Rose- Hill,ROSE HILL CENTRE 1,Imp Milien,71360
Rose- Hill,ROSE HILL CENTRE 1,L Regis ,71360
Rose- Hill,ROSE HILL CENTRE 1,La Martine,71360
Rose- Hill,ROSE HILL CENTRE 1,Milton,71360
Rose- Hill,ROSE HILL CENTRE 1,Pere Laval Street (south),71360
Rose- Hill,ROSE HILL CENTRE 1,Raymond Peril,71360
Rose- Hill,ROSE HILL CENTRE 1,Royal Rd (west) from Pere Laval to Ambrose,71360
Rose- Hill,ROSE HILL CENTRE 1,Sir Edgar Laurent ,71360
Rose- Hill,ROSE HILL CENTRE 1,Wellington,71360
Rose- Hill,ROSE HILL CENTRE 1,Willoughby ,71360
Rose- Hill,ROSE HILL CENTRE 2,Thomy Rousset,71361
Rose- Hill,ROSE HILL CENTRE 2,Ambrose Avenue (south),71361
Rose- Hill,ROSE HILL CENTRE 2,Ambrose Lane,71361
Rose- Hill,ROSE HILL CENTRE 2,C. Antelme  (north),71361
Rose- Hill,ROSE HILL CENTRE 2,Captan Bruce,71361
Rose- Hill,ROSE HILL CENTRE 2,E. Serret,71361
Rose- Hill,ROSE HILL CENTRE 2,Edison,71361
Rose- Hill,ROSE HILL CENTRE 2,Gordon,71361
Rose- Hill,ROSE HILL CENTRE 2,Hugnin (east) from Ambrose to C. Antelme,71361
Rose- Hill,ROSE HILL CENTRE 2,Joseph Riviere,71361
Rose- Hill,ROSE HILL CENTRE 2,L. L'Hoste,71361
Rose- Hill,ROSE HILL CENTRE 2,Leguen,71361
Rose- Hill,ROSE HILL CENTRE 2,Royal Rd (west) from C.Antelme  to Ambrose,71361
Rose- Hill,ROSE HILL CENTRE 2,Seide Gelle,71361
Rose- Hill,ROSE HILL CENTRE 2,St Joseph Lane,71361
Rose- Hill,ROSE HILL CENTRE 3,C. Antelme  (south),71362
Rose- Hill,ROSE HILL CENTRE 3,Dr Maurice Cure(north),71362
Rose- Hill,ROSE HILL CENTRE 3,Dr. de Chazal Antelme to Cure,71362
Rose- Hill,ROSE HILL CENTRE 3,Dumas ,71362
Rose- Hill,ROSE HILL CENTRE 3,Inkerman(royal to Cure),71362
Rose- Hill,ROSE HILL CENTRE 3,Boodhun from Cure to Inkerman,71362
Rose- Hill,ROSE HILL CENTRE 3,L.L'Homme from Cure to Inkerman,71362
Rodrigues - Mont Lubin,Bassin Gallard,,R3201
Rodrigues - Mont Lubin,Bati Madame,,R3202
Rodrigues - Mont Lubin,Bigarade,,R2203
Rodrigues - Mont Lubin,Camp Baptiste,,R5204
Rodrigues - Mont Lubin,Camp Paul or Canne paul,,R3205
Rodrigues - Mont Lubin,Champs,,R5206
Rodrigues - Mont Lubin,Chateau D'Eau,,R6207
Rodrigues - Mont Lubin,Citron Donis,,R2208
Rodrigues - Mont Lubin,Citron Donis,,R3208
Rodrigues - Mont Lubin,Citronelle,,R5209
Rodrigues - Mont Lubin,Dans Bebe,,R5210
Rodrigues - Mont Lubin,Dans Begue,,R3211
Rodrigues - Mont Lubin,Deux Goyaves,,R5212
Rodrigues - Mont Lubin,Eau Claire,,R3213
Rodrigues - Mont Lubin,Eau Vannee,,R3214
Rodrigues - Mont Lubin,Lataniers,,R3215
Rodrigues - Mont Lubin,Malabar,,R5216
Rodrigues - Mont Lubin,Malabar,,R4216
Rodrigues - Mont Lubin,Malartic,,R4217
Rodrigues - Mont Lubin,Malartic,,R3217
Rodrigues - Mont Lubin,Mon Plaisir,,R3222
Rodrigues - Mont Lubin,Mont Lubin,,R5218
Rodrigues - Mont Lubin,Mont Lubin,,R3218
Rodrigues - Mont Lubin,Montagne Goyaves,,R6219
Rodrigues - Mont Lubin,Montagne Goyaves,,R5219
Rodrigues - Mont Lubin,Montagne Limon,,R3220
Rodrigues - Mont Lubin,Montagne Persil,,R5221
Rodrigues - Mont Lubin,Oranges,,R5223
Rodrigues - Mont Lubin,Oranges,,R6223
Rodrigues - Mont Lubin,Pas Gerome,,R3224
Rodrigues - Mont Lubin,Pavillon,,R3225
Rodrigues - Mont Lubin,Petit Gabriel,,R2226
Rodrigues - Mont Lubin,Petit Gabriel,,R3226
Rodrigues - Mont Lubin,Petit Gabriel,,R4226
Rodrigues - Mont Lubin,Pompee,,R3227
Rodrigues - Mont Lubin,Saint Famille,,R3228
Rodrigues - Mont Lubin,Saint Gabriel,,R3229
Rodrigues - Mont Lubin,Sygangue,,R5230
Rodrigues - Mont Lubin,Vainqueur,,R5231
Rodrigues - Mont Lubin,Vainqueur,,R6231
Rose- Hill,ROSE HILL CENTRE 3,Mamet,71362
Rose- Hill,ROSE HILL CENTRE 3,Notre Dame De Lourdes,71362
Rose- Hill,ROSE HILL CENTRE 3,Royal Rd (west side) from Round About to Antelme,71362
Rose- Hill,ROSE HILL CENTRE 3,Singery from Cure to Antelme,71362
Rose- Hill,ROSE HILL CENTRE 3,Remono from Cure to Inkerman,71362
Rose- Hill,ROSE HILL CENTRE 3,Sir Charles Lees,71362
Rose- Hill,ROSE HILL CENTRE 3,Sonnee Mosque,71362
Rose- Hill,ROSE HILL CENTRE 3,Thierry,71362
Rose- Hill,ROSE HILL CENTRE 4,De Singery from Cure to Inkerman,71363
Rose- Hill,ROSE HILL CENTRE 4,Dr. de Chazal from Inkerman to Cure,71363
Rose- Hill,ROSE HILL CENTRE 4,Dr Lorens,71363
Rose- Hill,ROSE HILL CENTRE 4,Dr Maurice Cure(south),71363
Rose- Hill,ROSE HILL CENTRE 4,E.Pellereau,71363
Rose- Hill,ROSE HILL CENTRE 4,Gladstone (north side),71363
Rose- Hill,ROSE HILL CENTRE 4,Inkerman (Hugnin to Cure),71363
Rose- Hill,ROSE HILL CENTRE 4,L.L'Homme (gladstone to Cure),71363
Rose- Hill,ROSE HILL CENTRE 4,Labourdonnais (gladstone to Cure),71363
Rose- Hill,ROSE HILL CENTRE 4,Laplace (gladstone to inkerman),71363
Rose- Hill,ROSE HILL CENTRE 4,Mallac (gladstone to p o wales),71363
Rose- Hill,ROSE HILL CENTRE 4,Prince of Wales,71363
Rose- Hill,ROSE HILL CENTRE 4,R. Boodhun,71363
Rose- Hill,ROSE HILL CENTRE 4,S. Soopramanien from Hugnin to Cure,71363
Rose- Hill,ROSE HILL CENTRE 4,Sholay (gladstone to p o wales),71363
Rose- Hill,ROSE HILL CENTRE 5,Anquetil,71364
Rose- Hill,ROSE HILL CENTRE 5,Atchia,71364
Rose- Hill,ROSE HILL CENTRE 5,Beaugeard,71364
Rose- Hill,ROSE HILL CENTRE 5,Blondeau,71364
Rose- Hill,ROSE HILL CENTRE 5,Boundary North (Hugnin to Laboudonnais),71364
Rose- Hill,ROSE HILL CENTRE 5,Dr Bour,71364
Rose- Hill,ROSE HILL CENTRE 5,Gladstone (south side) Hugnin to labourdonnais,71364
Rose- Hill,ROSE HILL CENTRE 5,Hugnin (east side) boundary-gladstone,71364
Rose- Hill,ROSE HILL CENTRE 5,Labourdonnais(west) gladstone to boundary,71364
Rose- Hill,ROSE HILL CENTRE 5,Laplace (gladstone to Hurdowar),71364
Rose- Hill,ROSE HILL CENTRE 5,Mallac (gladstone to Blondeau),71364
Rose- Hill,ROSE HILL CENTRE 5,P. Camille,71364
Rose- Hill,ROSE HILL CENTRE 5,P. Neyrolles,71364
Rose- Hill,ROSE HILL CENTRE 5,Pere Jean de Roton (Hugnin to Labourdonnais),71364
Rose- Hill,ROSE HILL CENTRE 5,Promenade R.Armand,71364
Rose- Hill,ROSE HILL CENTRE 5,R. Hurdowar (Hugnin to labourdonnais),71364
Rose- Hill,ROSE HILL CENTRE 5,S. Balgobin (up to labourdonnais),71364
Rose- Hill,ROSE HILL CENTRE 5,S.Dhanjee (Hugnin to Labourdonnais),71364
Rose- Hill,ROSE HILL CENTRE 5,Sholay (gladstone Blondeau),71364
Rose- Hill,ROSE HILL CENTRE 5,Stevenson,71364
Rose- Hill,ROSE HILL CENTRE 6,Balgobin,71365
Rose- Hill,ROSE HILL CENTRE 6,Boundary North (Promenade to Laboudonnais),71365
Rose- Hill,ROSE HILL CENTRE 6,Gladstone (south side) Cure  to labourdonnais,71365
Rose- Hill,ROSE HILL CENTRE 6,J.C.D'Avoine,71365
Rose- Hill,ROSE HILL CENTRE 6,Labourdonnais (east) gladstone to boundary,71365
Rose- Hill,ROSE HILL CENTRE 6,Leoville L'Homme (gladstone to hurdowar),71365
Rose- Hill,ROSE HILL CENTRE 6,Malaval ,71365
Rose- Hill,ROSE HILL CENTRE 6,Pasteur Badaux,71365
Rose- Hill,ROSE HILL CENTRE 6,Pere Jean de Roton (Promenade to Labourdonnais),71365
Rose- Hill,ROSE HILL CENTRE 6,Promenade Roland Armand,71365
Rose- Hill,ROSE HILL CENTRE 6,R. Hurdowar (Promenade to labourdonnais),71365
Rose- Hill,ROSE HILL CENTRE 6,Remono (bus stop to Dhanjee),71365
Rose- Hill,ROSE HILL CENTRE 6,S. Balgobin (D Taylor to labourdonnais),71365
Rose- Hill,ROSE HILL CENTRE 6,S.Dhanjee (Remono  to Labourdonnais),71365
Rose- Hill,ROSE HILL CENTRE 7,Boundary  (north side) D Taylor to river,71366
Rose- Hill,ROSE HILL CENTRE 7,District Court,71366
Rose- Hill,ROSE HILL CENTRE 7,Duncan Taylor St,71366
Rose- Hill,ROSE HILL CENTRE 7,E. Francois,71366
Rose- Hill,ROSE HILL CENTRE 7,Elias,71366
Rose- Hill,ROSE HILL CENTRE 7,Health  Centre,71366
Rose- Hill,ROSE HILL CENTRE 7,Moka Rd ( J.Nyerere),71366
Rose- Hill,ROSE HILL CENTRE 7,Police Hqtrs,71366
Rose- Hill,ROSE HILL CENTRE 7,Royal Road from Boundary to Round About,71366
Rose- Hill,ROSE HILL CENTRE 7,Sir Virgil Naz,71366
Rose- Hill,ROSE HILL CENTRE 7,Telephone Exchange,71366
Rose- Hill,ROSE HILL CENTRE 7,Vandermersh (east) from round about to CEB,71366
Rose- Hill,ROSE HILL CENTRE 8,Impasse Louis Couacaud,71367
Rose- Hill,ROSE HILL CENTRE 8,Impasse St Ignace,71367
Rose- Hill,ROSE HILL CENTRE 8,Kennedy ,71367
Rose- Hill,ROSE HILL CENTRE 8,Malartic ( Southern Part),71367
Rose- Hill,ROSE HILL CENTRE 8,Poupinel De Valence,71367
Rose- Hill,ROSE HILL CENTRE 8,R. Rochecouste,71367
Rose- Hill,ROSE HILL CENTRE 8,Royal Rd East side from Malartic to Post Office,71367
Rose- Hill,ROSE HILL CENTRE 8,Roux St,71367
Rose- Hill,ROSE HILL CENTRE 8,S. Telemaque,71367
Rose- Hill,ROSE HILL CENTRE 8,Selmour  Ahnee,71367
Rose- Hill,ROSE HILL CENTRE 8,Vandermersch (Malartic to S Ahnee),71367
Rose- Hill,ROSE HILL CENTRE 9,C.D.Gaulle,71368
Rose- Hill,ROSE HILL CENTRE 9,De Caen,71368
Rose- Hill,ROSE HILL CENTRE 9,Dr E. Ythier,71368
Rose- Hill,ROSE HILL CENTRE 9,Dr Etienne,71368
Rose- Hill,ROSE HILL CENTRE 9,G.Pitot,71368
Rose- Hill,ROSE HILL CENTRE 9,G.Soobhan,71368
Rose- Hill,ROSE HILL CENTRE 9,Guy Blackburn ,71368
Rose- Hill,ROSE HILL CENTRE 9,Impasse A. Loumeau,71368
Rose- Hill,ROSE HILL CENTRE 9,Larche Lane,71368
Rose- Hill,ROSE HILL CENTRE 9,Larche st,71368
Rose- Hill,ROSE HILL CENTRE 9,Malartic North Side,71368
Rose- Hill,ROSE HILL CENTRE 9,Promenade Roland Armand,71368
Rose- Hill,ROSE HILL CENTRE 9,Rev Lebrun southern side,71368
Rose- Hill,ROSE HILL CENTRE 9,Royal Malartic to Rev Lebrun,71368
Rose- Hill,ROSE HILL CENTRE 9,Suzor,71368
Rose- Hill,ROSE HILL CENTRE 9,Swami Sivananda Road,71368
Rose- Hill,STANLEY 1,A.M.Sookia,71170
Rose- Hill,STANLEY 1,Antelme Lane 1,71170
Rose- Hill,STANLEY 1,Antelme Lane 2,71170
Rose- Hill,STANLEY 1,Berthaud (east side only) from Ratsitatane to St Anne,71170
Rose- Hill,STANLEY 1,Bradshaw Ave,71170
Rose- Hill,STANLEY 1,C.Antelme from Hugnin to Irlen,71170
Rose- Hill,STANLEY 1,Hugnin from Ratsitatane to St Anne (west side only),71170
Rose- Hill,STANLEY 1,Iqbal Lane,71170
Rose- Hill,STANLEY 1,Jadoo (seeneevassen),71170
Rose- Hill,STANLEY 1,M.Lacoste,71170
Rose- Hill,STANLEY 1,Mariamen Temple,71170
Rose- Hill,STANLEY 1,Mnanacourt,71170
Rose- Hill,STANLEY 1,N.Irlen,71170
Rose- Hill,STANLEY 1,Panchoo Lane,71170
Rose- Hill,STANLEY 1,R.Rivet Lane,71170
Rose- Hill,STANLEY 1,Ratsitatane Lane,71170
Rodrigues - Port Mathurin,Acacia Hauteur,,R4101
Rodrigues - Port Mathurin,Accacia Grand Bois,,R4102
Rodrigues - Port Mathurin,Allee Tamarin,,R4103
Rodrigues - Port Mathurin,Anse Aux Anglais,,R5104
Rodrigues - Port Mathurin,Baie aux Huitres,,R4105
Rodrigues - Port Mathurin,Baie Diamant,,R4106
Rodrigues - Port Mathurin,Baie Lascars,,R5107
Rodrigues - Port Mathurin,Baladirou,,R5108
Rodrigues - Port Mathurin,Baladirou,,R6108
Rodrigues - Port Mathurin,Camp Du Roi,,R4109
Rodrigues - Port Mathurin,Camp Du Roi,,R5109
Rodrigues - Port Mathurin,Caverne Provert,,R5110
Rodrigues - Port Mathurin,Creve Coeur,,R5111
Rodrigues - Port Mathurin,Fond Accacia,,R4112
Rodrigues - Port Mathurin,Fond La Digue,,R5113
Rodrigues - Port Mathurin,Grand Baie,,R5114
Rodrigues - Port Mathurin,Jardin Mamzelle,,R4115
Rodrigues - Port Mathurin,Jentac,,R5116
Rodrigues - Port Mathurin,L'Union,,R4119
Rodrigues - Port Mathurin,La Bonte,,R4117
Rodrigues - Port Mathurin,Le Chou,,R4118
Rodrigues - Port Mathurin,Montagne Charlot,,R4120
Rodrigues - Port Mathurin,Montagne Charlot,,R5120
Rodrigues - Port Mathurin,Montagne Cimetiere,,R4121
Rodrigues - Port Mathurin,Montagne Fanal,,R5122
Rodrigues - Port Mathurin,Pointe L'Herbe/Accacia,,R4124
Rodrigues - Port Mathurin,Pointe la Guele,,R4123
Rodrigues - Port Mathurin,Pointe Monnier,,R4125
Rodrigues - Port Mathurin,Port Mathurin,,R5126
Rodrigues - Port Mathurin,Roseaux,,R5127
Rodrigues - Port Mathurin,Solitude,,R5128
Rodrigues - Port Mathurin,Soupir,,R4129
Rodrigues - Port Mathurin,Soupir,,R5129
Rodrigues - Port Mathurin,Terre Rouge,,R5130
Rodrigues - Port Mathurin,Vangar,,R5131
Rose- Hill,STANLEY 1,RATSITATANE (south side only) from Hugnin to Berthaud,71170
Rose- Hill,STANLEY 1,Roopun lane,71170
Rose- Hill,STANLEY 1,School lane,71170
Rose- Hill,STANLEY 1,St Anne (north side only) from Berthaud to Hugnin,71170
Rose- Hill,STANLEY 1,Thakoor,71170
Rose- Hill,STANLEY 1,Toureau 3,71170
Rose- Hill,STANLEY 1,Venkatasamy Lane,71170
Rose- Hill,STANLEY 2,Barossy Lane,71171
Rose- Hill,STANLEY 2,Berthaud (east side) from C.D.Garde to St Anne,71171
Rose- Hill,STANLEY 2,Chady Lane,71171
Rose- Hill,STANLEY 2,Corp D.Garde (north side only) Berthaud  to Hugnin,71171
Rose- Hill,STANLEY 2,Goyaviers Ave,71171
Rose- Hill,STANLEY 2,D Amen Temple Rd (Pagoda),71171
Rose- Hill,STANLEY 2,Gajadhur Ave,71171
Rose- Hill,STANLEY 2,Hugnin (west side ) from C.D.Garde  to St Anne,71171
Rose- Hill,STANLEY 2,Jinnah Ave from St Anne to C.D.Garde,71171
Rose- Hill,STANLEY 2,M.Gandhi Ave  from St Anne to C.D.Garde,71171
Rose- Hill,STANLEY 2,Mathuvirin St,71171
Rose- Hill,STANLEY 2,Panchoo Rd from St Anne to C.D.Garde,71171
Rose- Hill,STANLEY 2,Pillay Lane,71171
Rose- Hill,STANLEY 2,Queen St,71171
Rose- Hill,STANLEY 2,Rosiers Lane,71171
Rose- Hill,STANLEY 2,St Anne Rd ( south part) from Berthaud to Hugnin,71171
Rose- Hill,STANLEY 2,Tagore Lane,71171
Rose- Hill,STANLEY 2,Tamariniers Ave,71171
Rose- Hill,STANLEY 2,Tirvengadum,71171
Rose- Hill,TEFLES HOUSING ESTATE,Bach lane,71176
Rose- Hill,TEFLES HOUSING ESTATE,Berlioz lane,71176
Rose- Hill,TEFLES HOUSING ESTATE, Berthaud from C.D Garde to G Rozemont,71176
Rose- Hill,TEFLES HOUSING ESTATE,Berthaud,71176
Rose- Hill,TEFLES HOUSING ESTATE,Chopin Lane,71176
Rose- Hill,TEFLES HOUSING ESTATE, Cocotiers lane,71176
Rose- Hill,TEFLES HOUSING ESTATE,C.D.Garde (south side) Morc Bholah to Jinnah,71176
Rose- Hill,TEFLES HOUSING ESTATE,Guy Rozemonmt (north part) from Jinnah to Monc Bholah,71176
Rose- Hill,TEFLES HOUSING ESTATE,Haendel lane,71176
Rose- Hill,TEFLES HOUSING ESTATE, Jinnah Ave (west) from C.D Garde to G. Rozemont,71176
Rose- Hill,TEFLES HOUSING ESTATE,M.A Dinnah Lane,71176
Rose- Hill,TEFLES HOUSING ESTATE,Mozart Lane,71176
Rose- Hill,TEFLES HOUSING ESTATE,Palmier Lane,71176
Rose- Hill,TEFLES HOUSING ESTATE,Schubert Lane,71176
Rose- Hill,TEFLES HOUSING ESTATE,Schuman Lane,71176
Rose- Hill,TEFLES HOUSING ESTATE,Soudun Lane,71176
Rose- Hill,TREFLES 1, Boundary (north side ) from Panchoo  to Hugnin,71173
Rose- Hill,TREFLES 1, C.D.Garde (southern side ) Panchoo  to Hugnin,71173
Rose- Hill,TREFLES 1, Manilall  (east side) from Panchoo  to Hugnin,71173
Rose- Hill,TREFLES 1,Dr Ferriere Avenue,71173
Rose- Hill,TREFLES 1,Dr Nooraya Street ,71173
Rose- Hill,TREFLES 1,Ferriere Lane,71173
Rose- Hill,TREFLES 1,Hugnin  (west side ) from C.D.Garde  to Boundary,71173
Rose- Hill,TREFLES 1,Imp Chasteauneuf,71173
Rose- Hill,TREFLES 1,Manilall from Hugnin to Panchoo (Stanley Ave),71173
Rose- Hill,TREFLES 1,Pagoda Avenue from C D Gardes to Rozemont,71173
Rose- Hill,TREFLES 1,Panchoo (East side ) from Boundary to C.D.Garde,71173
Rose- Hill,TREFLES 1,Panchoo Lane B,71173
Rose- Hill,TREFLES 1,R.E Hart,71173
Rose- Hill,TREFLES 1,Sawmy (from Ferriere to Panchoo),71173
Rose- Hill,TREFLES 2,Boundary (south side ) from Panchoo to Winners,71174
Rose- Hill,TREFLES 2, C.D.Garde (south side ) Panchoo  to Jinnah  ,71174
Rose- Hill,TREFLES 2, Sawmy Ave from M.gandhi Ave to Jinnah Ave,71174
Rose- Hill,TREFLES 2,Ameerally Lane,71174
Roches Noires,Azuri Complex,,31201
Roches Noires,Branch Rd,,31207
Roches Noires,Coastal Side,,31202
Roches Noires,Domaine du levant,,31203
Roches Noires,Haute Rive,,31204
Roches Noires,Lambic,,31205
Roches Noires,Roches Noires Village,,31206
Roches Noires,Sidine,,31208
Rodrigues - Grand Montagne,Anse Ally/Fumier,,R6401
Rodrigues - Grand Montagne,Anse Enfer,,R3402
Rodrigues - Grand Montagne,Anse Femie,,R6403
Rodrigues - Grand Montagne,Bassin Banane,,R6404
Rodrigues - Grand Montagne,Batatrand,,R6405
Rodrigues - Grand Montagne,Bel Air,,R6406
Rodrigues - Grand Montagne,Brulé ,,R6407
Rodrigues - Grand Montagne,Carrefour,,R3408
Rodrigues - Grand Montagne,Cascade Victoire,,R3409
Rodrigues - Grand Montagne,Coromandel,,R6410
Rodrigues - Grand Montagne,Dans Azie,,R6411
Rodrigues - Grand Montagne,Decide,,R6412
Rodrigues - Grand Montagne,Grande Montagne,,R6413
Rodrigues - Grand Montagne,Graviers,,R6414
Rodrigues - Grand Montagne,Grenade,,R6415
Rodrigues - Grand Montagne,Montagne Bois Noir,,R3416
Rodrigues - Grand Montagne,Montagne Cabri Est,,R6417
Rodrigues - Grand Montagne,Montagne Cherie,,R3418
Rodrigues - Grand Montagne,Montagne Longue,,R6419
Rodrigues - Grand Montagne,Montagne Malgache,,R3420
Rodrigues - Grand Montagne,Montagne Piquant,,R6421
Rodrigues - Grand Montagne,Montagne Ursule,,R6422
Rodrigues - Grand Montagne,Mourouk,,R3423
Rodrigues - Grand Montagne,Nassola,,R3424
Rodrigues - Grand Montagne,Nassola,,R6424
Rodrigues - Grand Montagne,Nouvelle Decouverte,,R6425
Rodrigues - Grand Montagne,Palissade Ternel,,R3426
Rodrigues - Grand Montagne,Palissade Ternel,,R6426
Rodrigues - Grand Montagne,Patate Theophile,,R6427
Rodrigues - Grand Montagne,Pate Reynieux,,R6428
Rodrigues - Grand Montagne,Petit Brule,,R6429
Rodrigues - Grand Montagne,Petits Graviers,,R6430
Rodrigues - Grand Montagne,Pointe Cotton,,R6431
Rodrigues - Grand Montagne,Port Sud Est,,R3432
Rodrigues - Grand Montagne,Riviere Banane,,R6433
Rodrigues - Grand Montagne,Roche Bon Dieu,,R6434
Rodrigues - Grand Montagne,Saint D'Or,,R6435
Rodrigues - Grand Montagne,Saponnaire,,R6436
Rodrigues - Grand Montagne,Source Tigomme,,R6437
Rodrigues - Grand Montagne,St Francois,,R6438
Rodrigues - Grand Montagne,Tambes,,R3439
Rodrigues - Grand Montagne,Tambes,,R6439
Rodrigues - Grand Montagne,Trefles,,R6440
Rodrigues - Grand Montagne,Trois Soleils,,R6441
Rose- Hill,TREFLES 2,Berthaud from Rozemont to boundary lane,71174
Rose- Hill,TREFLES 2,Bougainvilles Ave,71174
Rose- Hill,TREFLES 2,Bradshaw St,71174
Rose- Hill,TREFLES 2,Crystal lane,71174
Rose- Hill,TREFLES 2,Crystal Lane,71174
Rose- Hill,TREFLES 2,Dr Jeetoo Ave,71174
Rose- Hill,TREFLES 2,Dr M. Cure St,71174
Rose- Hill,TREFLES 2,Dr Manilall Lane,71174
Rose- Hill,TREFLES 2,E.Anquetil St,71174
Rose- Hill,TREFLES 2,Galaxy lane,71174
Rose- Hill,TREFLES 2,Gaya Lane,71174
Rose- Hill,TREFLES 2,Hirondelle Lane,71174
Rose- Hill,TREFLES 2,Imp Jeetoo,71174
Rose- Hill,TREFLES 2,Jeetoo lane,71174
Rose- Hill,TREFLES 2,Jinnah (East) from C.D.Garde to Rozemont,71174
Rose- Hill,TREFLES 2,Le Beau Lane,71174
Rose- Hill,TREFLES 2,M.Gandhi St,71174
Rose- Hill,TREFLES 2,Mahatma Gandhi Ave,71174
Rose- Hill,TREFLES 2,Mahatma Gandhi Lane,71174
Rose- Hill,TREFLES 2,Marguerite -part,71174
Rose- Hill,TREFLES 2,Panchoo Lane A,71174
Rose- Hill,TREFLES 2,Panchoo one side  from Boundary to C.D.Garde,71174
Rose- Hill,TREFLES 2,R.Seeneevassen St,71174
Rose- Hill,TREFLES 2,Rozemont (south) Jeetoo to Berthaud ,71174
Rose- Hill,TREFLES 3,Boundary from Berthaud to Winners ( north side only),71175
Rose- Hill,TREFLES 3,Cactus Ave,71175
Rose- Hill,TREFLES 3,Orchides Ave,71175
Rose- Hill,TREFLES 3, Aquarelle lane,71175
Rose- Hill,TREFLES 3, Berthaud from Boundary to Boundary lane,71175
Rose- Hill,TREFLES 3, Blue lane ,71175
Rose- Hill,TREFLES 3, Boundary lane ,71175
Rose- Hill,TREFLES 3, Canda (conal) part,71175
Rose- Hill,TREFLES 3,Fleur de Lys,71175
Rose- Hill,TREFLES 3, Geranuim,71175
Rose- Hill,TREFLES 3,Glaeil,71175
Rose- Hill,TREFLES 3,Green Lane,71175
Rose- Hill,TREFLES 3, Marguerite-part,71175
Rose- Hill,TREFLES 3, Pillay lane,71175
